iter	Passed	Remaining
0	176	176180
1	187	93416
2	198	66109
3	211	52615
4	223	44522
5	235	39010
6	245	34838
7	255	31737
8	266	29308
9	275	27309
10	286	25756
11	298	24598
12	308	23424
13	318	22436
14	328	21559
15	337	20765
16	347	20113
17	357	19505
18	367	18957
19	376	18456
20	385	17987
21	395	17579
22	404	17181
23	415	16915
24	430	16791
25	439	16477
26	450	16235
27	459	15967
28	469	15724
29	479	15502
30	488	15269
31	498	15079
32	508	14886
33	517	14715
34	527	14541
35	537	14395
36	547	14241
37	556	14098
38	567	13973
39	576	13836
40	586	13710
41	595	13591
42	605	13468
43	614	13361
44	625	13284
45	637	13225
46	650	13180
47	660	13092
48	670	13009
49	680	12923
50	689	12835
51	699	12747
52	708	12664
53	717	12576
54	727	12495
55	736	12415
56	746	12343
57	756	12279
58	765	12211
59	776	12163
60	788	12132
61	798	12074
62	807	12014
63	817	11955
64	827	11906
65	837	11852
66	848	11814
67	862	11816
68	872	11769
69	885	11769
70	902	11803
71	912	11766
72	924	11734
73	934	11692
74	944	11652
75	954	11610
76	965	11569
77	977	11552
78	987	11515
79	997	11473
80	1009	11458
81	1022	11451
82	1034	11429
83	1048	11433
84	1061	11423
85	1075	11430
86	1089	11429
87	1101	11413
88	1115	11416
89	1125	11381
90	1139	11381
91	1152	11371
92	1163	11342
93	1173	11315
94	1188	11319
95	1200	11306
96	1211	11274
97	1222	11247
98	1235	11242
99	1246	11216
100	1257	11189
101	1270	11186
102	1288	11219
103	1304	11238
104	1317	11228
105	1328	11208
106	1338	11169
107	1351	11160
108	1364	11151
109	1374	11116
110	1386	11100
111	1397	11082
112	1408	11056
113	1418	11027
114	1431	11019
115	1444	11008
116	1453	10972
117	1476	11039
118	1493	11054
119	1505	11043
120	1517	11026
121	1529	11008
122	1539	10977
123	1549	10948
124	1560	10923
125	1569	10888
126	1580	10862
127	1590	10834
128	1600	10805
129	1609	10773
130	1619	10741
131	1628	10709
132	1638	10679
133	1647	10648
134	1657	10617
135	1666	10585
136	1678	10574
137	1690	10561
138	1700	10531
139	1711	10512
140	1723	10498
141	1735	10486
142	1745	10463
143	1757	10447
144	1770	10439
145	1781	10420
146	1794	10414
147	1807	10402
148	1819	10394
149	1830	10372
150	1842	10359
151	1854	10345
152	1865	10327
153	1875	10305
154	1888	10297
155	1899	10274
156	1910	10255
157	1921	10240
158	1934	10230
159	1943	10202
160	1952	10176
161	1962	10149
162	1971	10121
163	1979	10092
164	1989	10067
165	1998	10043
166	2008	10017
167	2018	9994
168	2028	9972
169	2038	9950
170	2047	9928
171	2057	9906
172	2067	9885
173	2077	9864
174	2087	9841
175	2097	9819
