id,Öbek İsmi
0,obek_1
1,obek_1
2,obek_4
3,obek_8
4,obek_2
5,obek_4
6,obek_2
7,obek_3
8,obek_5
9,obek_3
10,obek_8
11,obek_5
12,obek_3
13,obek_6
14,obek_6
15,obek_3
16,obek_5
17,obek_3
18,obek_6
19,obek_5
20,obek_3
21,obek_2
22,obek_5
23,obek_5
24,obek_6
25,obek_8
26,obek_3
27,obek_8
28,obek_3
29,obek_2
30,obek_4
31,obek_2
32,obek_3
33,obek_7
34,obek_2
35,obek_1
36,obek_5
37,obek_2
38,obek_5
39,obek_8
40,obek_4
41,obek_4
42,obek_3
43,obek_2
44,obek_7
45,obek_6
46,obek_8
47,obek_5
48,obek_1
49,obek_6
50,obek_8
51,obek_6
52,obek_1
53,obek_4
54,obek_4
55,obek_2
56,obek_2
57,obek_7
58,obek_5
59,obek_5
60,obek_5
61,obek_5
62,obek_8
63,obek_7
64,obek_6
65,obek_2
66,obek_6
67,obek_8
68,obek_1
69,obek_5
70,obek_6
71,obek_8
72,obek_7
73,obek_4
74,obek_2
75,obek_7
76,obek_6
77,obek_4
78,obek_4
79,obek_3
80,obek_1
81,obek_1
82,obek_6
83,obek_7
84,obek_2
85,obek_1
86,obek_7
87,obek_7
88,obek_5
89,obek_8
90,obek_6
91,obek_4
92,obek_5
93,obek_7
94,obek_1
95,obek_7
96,obek_7
97,obek_7
98,obek_7
99,obek_6
100,obek_8
101,obek_5
102,obek_2
103,obek_8
104,obek_8
105,obek_2
106,obek_1
107,obek_1
108,obek_1
109,obek_8
110,obek_6
111,obek_3
112,obek_8
113,obek_5
114,obek_3
115,obek_6
116,obek_5
117,obek_7
118,obek_4
119,obek_5
120,obek_8
121,obek_5
122,obek_2
123,obek_5
124,obek_1
125,obek_2
126,obek_6
127,obek_6
128,obek_5
129,obek_4
130,obek_6
131,obek_3
132,obek_5
133,obek_4
134,obek_5
135,obek_4
136,obek_5
137,obek_5
138,obek_5
139,obek_5
140,obek_7
141,obek_8
142,obek_4
143,obek_3
144,obek_1
145,obek_7
146,obek_6
147,obek_5
148,obek_6
149,obek_6
150,obek_5
151,obek_3
152,obek_5
153,obek_6
154,obek_3
155,obek_6
156,obek_5
157,obek_5
158,obek_2
159,obek_6
160,obek_3
161,obek_4
162,obek_8
163,obek_7
164,obek_4
165,obek_6
166,obek_4
167,obek_8
168,obek_8
169,obek_5
170,obek_3
171,obek_8
172,obek_6
173,obek_6
174,obek_2
175,obek_7
176,obek_7
177,obek_2
178,obek_2
179,obek_3
180,obek_2
181,obek_5
182,obek_1
183,obek_3
184,obek_1
185,obek_8
186,obek_6
187,obek_8
188,obek_8
189,obek_3
190,obek_7
191,obek_5
192,obek_3
193,obek_4
194,obek_5
195,obek_5
196,obek_2
197,obek_8
198,obek_1
199,obek_5
200,obek_6
201,obek_7
202,obek_1
203,obek_5
204,obek_5
205,obek_4
206,obek_2
207,obek_5
208,obek_6
209,obek_6
210,obek_4
211,obek_7
212,obek_4
213,obek_4
214,obek_7
215,obek_1
216,obek_5
217,obek_1
218,obek_8
219,obek_4
220,obek_3
221,obek_7
222,obek_6
223,obek_3
224,obek_7
225,obek_7
226,obek_8
227,obek_8
228,obek_4
229,obek_4
230,obek_6
231,obek_1
232,obek_1
233,obek_1
234,obek_7
235,obek_4
236,obek_5
237,obek_1
238,obek_7
239,obek_1
240,obek_6
241,obek_6
242,obek_1
243,obek_5
244,obek_1
245,obek_7
246,obek_2
247,obek_6
248,obek_1
249,obek_3
250,obek_8
251,obek_6
252,obek_8
253,obek_2
254,obek_7
255,obek_7
256,obek_4
257,obek_8
258,obek_5
259,obek_1
260,obek_6
261,obek_2
262,obek_4
263,obek_3
264,obek_4
265,obek_2
266,obek_2
267,obek_4
268,obek_8
269,obek_3
270,obek_5
271,obek_2
272,obek_1
273,obek_5
274,obek_6
275,obek_4
276,obek_1
277,obek_2
278,obek_8
279,obek_7
280,obek_5
281,obek_1
282,obek_3
283,obek_2
284,obek_1
285,obek_4
286,obek_2
287,obek_3
288,obek_3
289,obek_2
290,obek_7
291,obek_7
292,obek_3
293,obek_7
294,obek_1
295,obek_3
296,obek_1
297,obek_1
298,obek_6
299,obek_7
300,obek_2
301,obek_2
302,obek_6
303,obek_4
304,obek_1
305,obek_8
306,obek_8
307,obek_1
308,obek_3
309,obek_3
310,obek_1
311,obek_2
312,obek_7
313,obek_1
314,obek_1
315,obek_8
316,obek_6
317,obek_3
318,obek_5
319,obek_2
320,obek_7
321,obek_7
322,obek_5
323,obek_3
324,obek_1
325,obek_2
326,obek_7
327,obek_6
328,obek_2
329,obek_2
330,obek_6
331,obek_3
332,obek_2
333,obek_4
334,obek_1
335,obek_1
336,obek_7
337,obek_5
338,obek_4
339,obek_8
340,obek_8
341,obek_8
342,obek_2
343,obek_8
344,obek_5
345,obek_4
346,obek_5
347,obek_7
348,obek_7
349,obek_6
350,obek_4
351,obek_6
352,obek_8
353,obek_4
354,obek_8
355,obek_3
356,obek_3
357,obek_2
358,obek_5
359,obek_3
360,obek_1
361,obek_3
362,obek_5
363,obek_1
364,obek_8
365,obek_7
366,obek_8
367,obek_7
368,obek_8
369,obek_7
370,obek_3
371,obek_7
372,obek_4
373,obek_6
374,obek_5
375,obek_4
376,obek_3
377,obek_2
378,obek_7
379,obek_5
380,obek_1
381,obek_3
382,obek_4
383,obek_5
384,obek_7
385,obek_3
386,obek_8
387,obek_5
388,obek_4
389,obek_1
390,obek_3
391,obek_7
392,obek_4
393,obek_8
394,obek_8
395,obek_6
396,obek_3
397,obek_5
398,obek_7
399,obek_7
400,obek_3
401,obek_6
402,obek_3
403,obek_1
404,obek_2
405,obek_2
406,obek_8
407,obek_4
408,obek_4
409,obek_1
410,obek_6
411,obek_3
412,obek_3
413,obek_3
414,obek_7
415,obek_8
416,obek_3
417,obek_7
418,obek_5
419,obek_1
420,obek_5
421,obek_6
422,obek_7
423,obek_7
424,obek_4
425,obek_2
426,obek_8
427,obek_5
428,obek_6
429,obek_4
430,obek_3
431,obek_6
432,obek_5
433,obek_2
434,obek_2
435,obek_8
436,obek_4
437,obek_2
438,obek_2
439,obek_8
440,obek_1
441,obek_2
442,obek_3
443,obek_6
444,obek_1
445,obek_5
446,obek_6
447,obek_3
448,obek_7
449,obek_1
450,obek_6
451,obek_8
452,obek_5
453,obek_3
454,obek_6
455,obek_7
456,obek_5
457,obek_7
458,obek_1
459,obek_2
460,obek_6
461,obek_8
462,obek_5
463,obek_1
464,obek_4
465,obek_2
466,obek_7
467,obek_3
468,obek_3
469,obek_7
470,obek_3
471,obek_8
472,obek_7
473,obek_3
474,obek_5
475,obek_4
476,obek_3
477,obek_3
478,obek_8
479,obek_8
480,obek_6
481,obek_3
482,obek_1
483,obek_3
484,obek_2
485,obek_1
486,obek_6
487,obek_2
488,obek_5
489,obek_2
490,obek_7
491,obek_5
492,obek_8
493,obek_7
494,obek_7
495,obek_2
496,obek_8
497,obek_2
498,obek_2
499,obek_1
500,obek_7
501,obek_2
502,obek_1
503,obek_5
504,obek_7
505,obek_3
506,obek_5
507,obek_3
508,obek_1
509,obek_2
510,obek_2
511,obek_3
512,obek_4
513,obek_8
514,obek_6
515,obek_2
516,obek_6
517,obek_2
518,obek_4
519,obek_4
520,obek_4
521,obek_8
522,obek_2
523,obek_6
524,obek_6
525,obek_6
526,obek_6
527,obek_7
528,obek_1
529,obek_4
530,obek_5
531,obek_6
532,obek_6
533,obek_2
534,obek_5
535,obek_8
536,obek_4
537,obek_6
538,obek_4
539,obek_5
540,obek_7
541,obek_2
542,obek_2
543,obek_2
544,obek_4
545,obek_7
546,obek_7
547,obek_2
548,obek_6
549,obek_6
550,obek_1
551,obek_4
552,obek_2
553,obek_3
554,obek_6
555,obek_8
556,obek_1
557,obek_1
558,obek_5
559,obek_5
560,obek_8
561,obek_5
562,obek_7
563,obek_2
564,obek_7
565,obek_5
566,obek_4
567,obek_8
568,obek_4
569,obek_6
570,obek_6
571,obek_6
572,obek_8
573,obek_6
574,obek_7
575,obek_2
576,obek_7
577,obek_2
578,obek_1
579,obek_6
580,obek_5
581,obek_8
582,obek_4
583,obek_8
584,obek_8
585,obek_3
586,obek_7
587,obek_7
588,obek_8
589,obek_7
590,obek_3
591,obek_5
592,obek_3
593,obek_7
594,obek_3
595,obek_7
596,obek_7
597,obek_1
598,obek_8
599,obek_5
600,obek_6
601,obek_5
602,obek_3
603,obek_3
604,obek_4
605,obek_6
606,obek_7
607,obek_4
608,obek_7
609,obek_6
610,obek_5
611,obek_4
612,obek_7
613,obek_7
614,obek_1
